run,states,candidates,frontier_fraction,seed,top_k,decision,candidate_regret,candidate_overlap,one_step_regret
50x16 f0.5,50,16,0.5,46,6,stop,0.3010,0.6533,1.4748
50x16 f0.5,50,16,0.5,46,8,stop,0.1324,0.7350,0.1056
50x16 f0.5,50,16,0.5,46,10,stop,0.1324,0.7560,0.0811
50x16 f0.5,50,16,0.5,46,12,stop,0.1238,0.8067,0.0725
50x20 f0.5,50,20,0.5,46,6,stop,0.5164,0.5467,1.3441
50x20 f0.5,50,20,0.5,46,8,stop,0.4685,0.6175,0.1588
50x20 f0.5,50,20,0.5,46,10,stop,0.0780,0.7280,0.0739
50x20 f0.5,50,20,0.5,46,12,stop,0.0739,0.7550,0.0000
50x24 f0.75,50,24,0.75,46,6,stop,0.9522,0.3467,2.4113
50x24 f0.75,50,24,0.75,46,8,stop,0.9118,0.4250,2.0970
50x24 f0.75,50,24,0.75,46,10,stop,0.6931,0.4960,0.3802
50x24 f0.75,50,24,0.75,46,12,stop,0.2912,0.6167,0.3419
50x24 f1.0,50,24,1.0,46,6,stop,1.2449,0.3967,2.8339
50x24 f1.0,50,24,1.0,46,8,stop,1.2432,0.4675,2.7080
50x24 f1.0,50,24,1.0,46,10,stop,0.5200,0.5780,0.6433
50x24 f1.0,50,24,1.0,46,12,stop,0.2691,0.6400,0.6011
